;2;2;2;2;2;2;2;2;2;2;2
;cost;cost;cost;cost;cost;cost;cost;cost;gain;gain;cost
;NOx;SOx;VOCs;PM;Pb;Hg;Cd;TCDD;GHCE;electricity-production;landfilled-waste
S0;-0.26;-0.08;2.96;-0.15;-4.61E-06;-1.21E-06;-1.76E-06;-1.55E-12;-209.28;-33.77;511.20
S1;0.02;0.00;0.17;0.00;8.22E-08;3.67E-09;1.98E-08;1.45E-15;15.81;0.05;49.10
S2;-0.14;-0.34;-0.01;-0.02;-1.37E-05;-2.64E-06;-3.88E-06;-3.35E-12;-9.42;-186.61;235.48
S3;-0.25;-0.05;3.01;-0.15;-3.26E-06;-9.44E-07;-1.38E-06;-1.20E-12;-251.49;-26.26;211.74
S4;-0.29;-0.14;2.91;-0.16;-6.98E-06;-1.66E-06;-2.43E-06;-2.11E-12;-504.19;-70.45;323.34
S5;1.12;-0.48;0.00;0.22;-9.29E-06;1.64E-03;1.34E-04;1.43E-09;-122.72;-117.69;68.46
S6;0.66;-0.30;0.05;0.13;-6.29E-06;9.71E-04;7.88E-05;8.44E-10;-72.73;-73.92;62.90
S7;0.22;-0.21;2.92;-0.06;-5.71E-06;6.72E-04;5.37E-05;5.84E-10;-382.14;-67.05;226.35
S8;-0.13;-0.31;0.04;-0.02;-1.26E-05;-2.43E-06;-3.56E-06;-3.08E-12;18.55;-167.38;163.21
S9;-0.19;-0.47;-0.01;-0.02;-1.87E-05;-3.62E-06;-5.31E-06;-4.60E-12;-96.32;-201.51;461.64
